origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,NA,470339.0,807232.0,375869.0,778335.0,204798.0,751736.0,1518317.0,326548.0,364045.0,458633.0,1286815.0,839708.0,791618.0,308398.0,999230.0,500976.0,755182.0,522397.0,762779.0,1278585.0,325699.0,434368.0,2714240.0,425473.0,758338.0,445928.0,751197.0,2248084.0,234620.0,1385842.0,864197.0,579077.0,419956.0,222684.0,135680.0,701048.0,508274.0,129.0,108556.0,524075.0,464602.0,409001.0,624496.0,80198.0,554698.0,508255.0,1065920.0,458466.0,1334891.0
2,466900.0,NA,80859.0,553.0,95616.0,408.0,133514.0,413495.0,12733.0,1194.0,1478.0,891224.0,378863.0,83834.0,1197.0,445605.0,2361.0,97.0,1416.0,207314.0,430902.0,1008.0,15191.0,171192.0,1061.0,76646.0,87580.0,44229.0,394927.0,1865.0,155080.0,46976.0,265298.0,3026.0,37846.0,145.0,3036.0,227.0,261.0,4163.0,70614.0,2.0,73972.0,272247.0,75165.0,129193.0,42135.0,40880.0,749.0,126238.0
3,814043.0,86075.0,NA,35516.0,557178.0,197539.0,406357.0,602053.0,28453.0,120818.0,124313.0,420554.0,319646.0,346824.0,265731.0,301868.0,90029.0,135086.0,88078.0,301868.0,292728.0,116499.0,45900.0,912230.0,97344.0,231982.0,201712.0,116151.0,283760.0,35568.0,550309.0,60493.0,257596.0,99405.0,9369.0,305888.0,247236.0,NA,2068.0,22380.0,142720.0,96585.0,119491.0,112538.0,8141.0,124791.0,150006.0,307934.0,176744.0,411.0
4,378955.0,15.0,36763.0,NA,44.0,5.0,124412.0,114832.0,NA,NA,241.0,166514.0,23201.0,40042.0,82.0,130554.0,492.0,NA,188.0,44405.0,1367.0,9.0,45.0,24096.0,4.0,332.0,31.0,627.0,24356.0,328.0,68953.0,20637.0,2523.0,381.0,20.0,92.0,454.0,138.0,126.0,40.0,14.0,234.0,780.0,489.0,424.0,1002.0,307.0,58601.0,NA,33005.0
5,772430.0,96185.0,556065.0,5.0,NA,128264.0,490601.0,1158003.0,80757.0,140776.0,98016.0,535508.0,419765.0,423270.0,19.0,364833.0,107221.0,62474.0,62898.0,166382.0,668979.0,1109.0,549.0,939156.0,84109.0,356543.0,175628.0,60868.0,1567941.0,1022.0,408692.0,597053.0,222896.0,139582.0,86426.0,9.0,256968.0,156621.0,111.0,7942.0,135407.0,2799.0,146228.0,636951.0,31560.0,278924.0,92626.0,181645.0,817.0,1002712.0
6,203747.0,685.0,203361.0,23.0,127489.0,NA,139686.0,317259.0,145.0,226.0,92.0,953.0,2443.0,113616.0,292.0,1909.0,264.0,154.0,386.0,89926.0,24814.0,3.0,134.0,81115.0,NA,36537.0,454.0,302.0,458142.0,NA,195526.0,72517.0,50044.0,300.0,533.0,797.0,2068.0,101.0,333.0,89.0,349.0,1037.0,1333.0,605.0,219.0,866.0,190.0,76379.0,505.0,84502.0
7,748989.0,125519.0,400728.0,126158.0,520561.0,141661.0,NA,688090.0,165324.0,176319.0,166754.0,648398.0,371111.0,361701.0,244834.0,390742.0,188943.0,259374.0,150786.0,265266.0,338226.0,141865.0,179948.0,958329.0,85831.0,286177.0,254151.0,215811.0,1542946.0,45101.0,497145.0,446686.0,501584.0,293780.0,50352.0,176048.0,325162.0,250523.0,687.0,45830.0,95713.0,109964.0,122789.0,291503.0,9856.0,145112.0,182491.0,405025.0,290753.0,558916.0
8,1518772.0,417677.0,600451.0,120292.0,1164837.0,307313.0,682507.0,NA,266139.0,591268.0,492887.0,1329539.0,1370234.0,765503.0,328684.0,1014231.0,373176.0,138515.0,593389.0,1199114.0,2029063.0,276580.0,209983.0,1262277.0,196283.0,1391981.0,552355.0,356378.0,3096592.0,137184.0,1143406.0,944011.0,1132984.0,459044.0,486403.0,202245.0,428988.0,148897.0,105194.0,184964.0,440017.0,229536.0,665857.0,1593799.0,147064.0,873377.0,612074.0,598468.0,184444.0,1261123.0
9,333909.0,13198.0,28523.0,NA,81330.0,165.0,160075.0,265132.0,NA,291.0,50.0,166172.0,148370.0,97488.0,11626.0,106137.0,32.0,14442.0,18458.0,121871.0,104316.0,78.0,19860.0,105031.0,15911.0,106484.0,21880.0,11865.0,275085.0,NA,196717.0,117911.0,19953.0,1136.0,NA,213.0,29724.0,105.0,NA,NA,75891.0,204.0,71.0,48920.0,NA,13213.0,23411.0,93301.0,19.0,132245.0
10,366408.0,228.0,111595.0,16.0,140600.0,158.0,175588.0,606524.0,341.0,NA,182.0,185065.0,217467.0,86978.0,11419.0,107715.0,336.0,132.0,3050.0,189885.0,137228.0,4.0,680.0,144379.0,17376.0,88130.0,98433.0,892.0,363263.0,149.0,211367.0,98846.0,85134.0,33.0,8511.0,165.0,24265.0,213.0,428.0,580.0,389.0,548.0,3434.0,87758.0,222.0,13830.0,35429.0,78448.0,93.0,154601.0
