METRO_AREA_origin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,NA,470339,807232,375869,778335,204798,751736,1518317,326548,364045,458633,1286815,839708,791618,308398,999230,500976,755182,522397,762779,1278585,325699,434368,2714240,425473,758338,445928,751197,2248084,234620,1385842,864197,579077,419956,222684,135680,701048,508274,129,108556,524075,464602,409001,624496,80198,554698,508255,1065920,458466,1334891
1,466900,NA,80859,553,95616,408,133514,413495,12733,1194,1478,891224,378863,83834,1197,445605,2361,97,1416,207314,430902,1008,15191,171192,1061,76646,87580,44229,394927,1865,155080,46976,265298,3026,37846,145,3036,227,261,4163,70614,2,73972,272247,75165,129193,42135,40880,749,126238
2,814043,86075,NA,35516,557178,197539,406357,602053,28453,120818,124313,420554,319646,346824,265731,301868,90029,135086,88078,301868,292728,116499,45900,912230,97344,231982,201712,116151,283760,35568,550309,60493,257596,99405,9369,305888,247236,NA,2068,22380,142720,96585,119491,112538,8141,124791,150006,307934,176744,411
3,378955,15,36763,NA,44,5,124412,114832,NA,NA,241,166514,23201,40042,82,130554,492,NA,188,44405,1367,9,45,24096,4,332,31,627,24356,328,68953,20637,2523,381,20,92,454,138,126,40,14,234,780,489,424,1002,307,58601,NA,33005
4,772430,96185,556065,5,NA,128264,490601,1158003,80757,140776,98016,535508,419765,423270,19,364833,107221,62474,62898,166382,668979,1109,549,939156,84109,356543,175628,60868,1567941,1022,408692,597053,222896,139582,86426,9,256968,156621,111,7942,135407,2799,146228,636951,31560,278924,92626,181645,817,1002712
5,203747,685,203361,23,127489,NA,139686,317259,145,226,92,953,2443,113616,292,1909,264,154,386,89926,24814,3,134,81115,NA,36537,454,302,458142,NA,195526,72517,50044,300,533,797,2068,101,333,89,349,1037,1333,605,219,866,190,76379,505,84502
6,748989,125519,400728,126158,520561,141661,NA,688090,165324,176319,166754,648398,371111,361701,244834,390742,188943,259374,150786,265266,338226,141865,179948,958329,85831,286177,254151,215811,1542946,45101,497145,446686,501584,293780,50352,176048,325162,250523,687,45830,95713,109964,122789,291503,9856,145112,182491,405025,290753,558916
7,1518772,417677,600451,120292,1164837,307313,682507,NA,266139,591268,492887,1329539,1370234,765503,328684,1014231,373176,138515,593389,1199114,2029063,276580,209983,1262277,196283,1391981,552355,356378,3096592,137184,1143406,944011,1132984,459044,486403,202245,428988,148897,105194,184964,440017,229536,665857,1593799,147064,873377,612074,598468,184444,1261123
8,333909,13198,28523,NA,81330,165,160075,265132,NA,291,50,166172,148370,97488,11626,106137,32,14442,18458,121871,104316,78,19860,105031,15911,106484,21880,11865,275085,NA,196717,117911,19953,1136,NA,213,29724,105,NA,NA,75891,204,71,48920,NA,13213,23411,93301,19,132245
9,366408,228,111595,16,140600,158,175588,606524,341,NA,182,185065,217467,86978,11419,107715,336,132,3050,189885,137228,4,680,144379,17376,88130,98433,892,363263,149,211367,98846,85134,33,8511,165,24265,213,428,580,389,548,3434,87758,222,13830,35429,78448,93,154601
