"FACILITY_ID","POINT_ID","AIRPORT_CODE","AIRPORT_CODE2","AMTRAK_STATION_CODE","FERRY_TERMINAL_CODE","RAIL_ID","BIKE_ID","DATE_UPDATED","ADDRESS","CITY","STATE","ZIPCODE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","POINT_LON","POINT_LAT","FACILITY_TYPE","FERRY_TRANSIT","FERRY_INTERCITY","BUS_TRANSIT","BUS_INTERCITY","BUS_CODE_SHARE","BUS_SUPPLEMENTAL","RAIL_INTERCITY","RAIL_COMMUTER","RAIL_HEAVY","RAIL_LIGHT","AIR_SERVICE","BIKE_SHARE","BIKE_SYSTEM_ID","BIKE_SYSTEM","WEBSITE","NOTES","DATA_SOURCE","INTERCITY_SERVICE","TRANSIT_SERVICE","CBSA_CODE","CBSA_TYPE","MODES_SERVING","MODE_BUS","MODE_AIR","MODE_RAIL","MODE_FERRY","MODE_BIKE",
"AK9950101",422,"","","",,"","",2016-04-16,"411 W 1st Ave","Anchorage","AK","99501","Anchorage AK","Alaska Railroad Station",-149.881200,61.216500,-149.881200,61.216500,10,3,3,2,0,3,3,1,3,3,3,0,3,0,"","","Served by Alaska Railroad. Anchorage People Mover bus stops two blocks away.","FRA Database; www.akrr.com; www.muni.org",1,0,11260,1,1,0,0,1,0,0,
"AK9950102",423,"","","",,"","",2016-09-16,"321 E 5th Ave","Anchorage","AK","99501","Anchorage AK","Guesthouse Inn",-149.879000,61.217500,-149.879000,61.217500,2,3,3,1,1,3,3,0,3,3,3,0,3,0,"","","Served by Interior Alaska Bus Line and Anchorage People Mover transit bus.","www.alaskashuttle.com; www.muni.org/departments/transit/peoplemover/Pages/default.aspx",1,1,11260,1,1,1,0,0,0,0,
"AK9950104",1,"ANC","","",,"","",2016-04-16,"5000 Old International Airport Rd","Anchorage","AK","99502","Anchorage AK","Ted Stevens Anchorage International",-149.996360,61.174360,-149.985446,61.174466,1,3,3,1,1,3,3,1,3,3,3,1,3,0,"","www.anchorageairport.com","Served by People Mover bus; Alaska/Yukon Trails; Alaska Railroad.","www.muni.org; www.akrr.com; www.alaskashuttle.com",1,1,11260,1,3,1,1,1,0,0,
"AK9950105",11157,"","","",,"","",2016-09-14,"700 H St","Anchorage","AK","99501","Anchorage AK","Bent Prop Inn",-149.897000,61.215400,-149.897000,61.215400,2,3,3,2,1,3,3,0,3,3,3,0,3,0,"","","Served by Alaska/Yukon Trails. Anchorage People Mover is one block away","www.alaskashuttle.com",1,0,11260,1,1,1,0,0,0,0,
"AK9950301",11156,"","","",,"","",2016-09-14,"1037 W 26th Ave","Anchorage","AK","99503","Anchorage AK","Base Camp Anchorage",-149.902000,61.197200,-149.902000,61.197200,2,3,3,0,1,3,3,0,3,3,3,0,3,0,"","","Served by Alaska/Yukon Trails. Anchorage People Mover is one block away","www.alaskashuttle.com",1,0,11260,1,1,1,0,0,0,0,
"AK9951701",11158,"","","",,"","",2016-09-14,"2845 W 42nd Ave","Anchorage","AK","99517","Anchorage AK","Spenard Hostel",-149.939000,61.182400,-149.939000,61.182400,2,3,3,0,1,3,3,0,3,3,3,0,3,0,"","","Served by Alaska/Yukon Trails. Anchorage People Mover is one block away","www.alaskashuttle.com",1,0,11260,1,1,1,0,0,0,0,
"AK9951801",425,"","","",,"","",2016-09-16,"555 W 5th Ave","Anchorage","AK","99518","Anchorage AK","Egan Convention Center",-149.890000,61.172400,-149.890000,61.172400,2,3,3,1,1,3,3,0,3,3,3,0,3,0,"","","Served by Alaska/Yukon Trails and People Mover transit.","www.alaskashuttle.com; www.muni.org/departments/transit/peoplemover/Pages/default.aspx",1,1,11260,1,1,1,0,0,0,0,
"AK9951901",1,"","","",,"","",2016-04-16,"4980 W International Airport Rd","Anchorage","AK","99519","Anchorage AK","Ted Stevens Intl Airport Station",-149.979980,61.174540,-149.985446,61.174466,10,3,3,1,1,3,3,1,3,3,3,1,3,0,"","","Served by Alaska Railroad. Connection via airport shuttle bus to terminal.","www.akrr.com; personal communication with Alaska Railroad.",1,1,11260,1,3,1,1,1,0,0,
"AK9951902",1,"","","",,"","",2016-09-16,"4980 W International Airport Rd","Anchorage","AK","99519","Anchorage AK","Ted Stevens Intl Airport Station",-149.980000,61.174500,-149.985446,61.174466,2,3,3,1,1,3,3,1,3,3,3,1,3,0,"","","Served by Alaska Railroad and Alaska/Yukon Trails. Connection via airport shuttle bus to terminal.","www.akrr.com; www.alaskashuttle.com; personal communication with Alaska Railroad.",1,1,11260,1,3,1,1,1,0,0,
"AK9954501",426,"KKH","DUY","",,"","",2016-04-16,"","Kongiganak","AK","99545","","Kongiganak",-162.881250,59.960810,-162.881250,59.960810,1,3,3,3,3,3,3,3,3,3,3,1,3,0,"","","No scheduled ground transportation.","www.apta.com; www.akrr.com",1,0,,0,1,0,1,0,0,0,
